Tahun;Produksi_Energi;Konsumsi_Energi;Produksi_Batubara_Lignit;Konsumsi_Batubara_Lignit;Produksi_Minyak_Mentah;Produksi_Minyak_Olahan;Produksi_Gas_Alam;Konsumsi_Gas_Alam;Produksi_Listrik;Konsumsi_Listrik;Kontribusi_Energi_Terbarukan_Untuk_Total_Energi_Listrik(%);Kontribusi_Energi_Angin_Matahari_Untuk_Total_Energi_Listrik(%);Emisi_Co2_Dari_Bahan_Bakar;Faktor_Emisi_Co2
1990;169;99;10;7;73;39;48;17;33;28;20.9;3.4;145;1.47
1991;183;103;13;8;80;40;55;19;37;31;20.6;2.8;157;1.52
1992;187;108;22;8;75;42;57;20;42;35;23.8;2.6;165;1.53
1993;194;119;28;8;77;42;59;21;45;39;19.8;2.4;179;1.51
1994;208;119;31;9;81;43;66;26;51;45;15.7;3.8;190;1.60
1995;215;131;42;11;80;46;65;29;59;50;16.5;3.7;212;1.62
1996;223;136;50;12;80;49;69;30;68;57;15.5;3.5;230;1.70
1997;228;140;55;14;79;48;72;33;75;64;10.3;3.5;250;1.78
1998;229;137;61;16;77;48;70;36;78;65;15.8;3.4;252;1.84
1999;238;144;74;20;75;49;75;35;86;71;14.1;3.2;271;1.89
2000;238;156;79;25;70;50;70;31;93;79;16.0;5.2;272;1.75
2001;242;159;94;28;67;51;68;33;101;85;17.5;6.0;291;1.82
2002;248;165;102;29;62;49;74;35;108;87;15.0;5.8;297;1.80
2003;255;165;117;39;57;50;78;36;113;90;13.6;5.6;325;1.97
2004;265;176;144;36;53;50;75;34;120;100;13.6;5.5;332;1.88
2005;280;179;171;41;52;48;75;33;128;108;13.6;5.2;335;1.88
2006;314;183;233;49;49;47;74;36;133;113;12.3;5.0;354;1.93
2007;318;182;249;61;47;46;72;30;142;122;12.9;4.9;372;2.04
2008;323;185;249;55;48;48;74;33;149;129;13.3;5.6;365;1.97
2009;348;196;291;56;47;49;77;39;157;136;13.2;5.9;382;1.95
2010;374;202;325;67;48;47;86;44;170;147;15.9;5.5;410;2.04
2011;425;205;436;80;45;48;81;41;183;158;12.0;5.1;461;2.25
2012;429;204;470;82;44;46;77;41;200;174;11.2;4.7;468;2.29
2013;437;197;491;65;41;44;76;42;216;188;12.3;4.4;428;2.17
2014;431;206;488;79;40;48;75;43;228;199;11.5;4.4;464;2.26
2015;406;204;452;87;40;47;75;43;234;203;10.7;4.3;469;2.30
2016;414;210;463;94;42;47;74;42;248;216;12.6;4.3;460;2.19
2017;426;221;495;105;40;49;72;40;255;223;12.5;5.0;491;2.22
2018;451;232;549;121;39;51;72;44;284;256;17.3;5.0;550;2.37
2019;470;241;601;146;38;51;67;47;295;260;16.7;5.0;597;2.48
2020;426;216;549;137;36;46;59;41;292;257;18.6;5.6;519;2.40
2021;451;226;592;138;34;43;58;41;309;270;18.7;5.4;537;2.38
